Wavel.,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9
408,13,11,13,11,13,13,10,11,11,13,104,99,101,104,106,105,111,122,127,143,151,174,201,329,587,931,1111,1108,1170,1126,1221,1263,1306,1344,294,312,338,309,326,353,428,572,758,878,974,1016,805,1091,1015,1005,1033,1044,1078,1050,1209,1235,1264,1253
409,11,10,13,11,13,13,12,10,12,13,104,96,97,102,105,101,111,117,123,140,152,170,194,318,559,898,1060,1052,1119,1093,1166,1212,1229,1274,287,307,316,295,307,343,409,546,728,842,949,972,767,1024,975,987,967,988,1041,1000,1153,1181,1227,1195
410,11,10,13,13,12,13,11,9,11,13,101,95,96,100,104,106,105,120,120,139,146,165,189,309,549,869,1045,1020,1072,1065,1135,1174,1178,1235,273,294,316,278,299,329,393,534,706,819,915,937,744,1009,945,949,932,943,997,965,1110,1132,1173,1169
411,11,12,13,13,11,14,11,11,11,12,95,94,97,99,97,100,107,114,120,137,145,166,183,298,523,831,984,974,1031,1005,1084,1138,1131,1206,266,275,301,271,289,315,373,505,670,783,870,897,713,974,906,896,890,895,969,919,1067,1090,1120,1121
412,11,11,12,11,13,14,11,10,11,11,98,90,95,98,99,96,104,114,117,135,145,162,180,290,507,797,970,952,994,978,1039,1091,1113,1151,251,269,296,266,282,305,375,494,655,744,828,868,685,928,871,874,882,876,934,895,1018,1065,1072,1076
413,13,10,11,13,13,14,11,11,11,13,97,91,90,97,98,98,104,110,116,134,141,159,178,279,488,768,916,895,950,949,994,1054,1041,1076,243,258,282,252,273,290,355,465,628,710,778,848,653,873,835,835,840,835,887,851,979,999,1029,1030
414,12,13,13,13,11,14,11,11,11,11,92,87,90,91,96,94,100,113,117,134,139,153,167,267,472,736,878,867,914,879,961,1001,1006,1039,233,245,275,240,257,280,338,445,598,692,755,800,627,845,814,807,794,801,836,814,937,965,998,984
415,12,11,11,13,12,14,10,10,10,11,91,88,89,90,93,93,101,108,114,129,135,151,167,255,447,696,832,838,860,843,906,958,939,1006,218,236,260,233,249,271,324,431,566,654,732,765,588,803,760,770,765,783,818,777,906,932,938,946
416,12,11,11,12,14,14,11,11,11,12,93,86,89,91,92,91,100,110,114,131,133,154,165,246,431,670,790,797,842,815,853,929,935,958,219,230,251,225,241,260,308,412,549,634,708,734,574,778,747,731,739,741,770,760,865,886,924,902
417,11,12,12,12,11,15,11,10,12,13,90,83,85,93,93,91,98,107,114,127,133,150,162,247,417,653,775,770,807,775,842,872,868,937,203,221,249,216,231,253,299,401,528,611,676,706,553,758,707,701,703,699,737,716,831,851,856,869
418,11,12,13,13,12,15,10,10,11,14,87,81,84,87,89,91,98,105,109,129,131,144,157,232,400,610,742,735,753,758,796,841,840,882,200,208,234,205,222,241,285,387,497,590,637,666,520,721,678,671,670,681,719,686,775,805,826,831
419,12,12,12,11,12,15,14,11,11,12,88,81,81,88,87,89,97,104,111,126,129,140,155,227,379,598,718,703,745,722,779,803,827,855,193,202,227,201,214,238,281,377,489,563,628,641,510,685,644,648,648,660,707,680,754,786,785,800
420,11,12,12,13,13,14,12,12,12,12,85,84,81,86,86,91,95,104,110,127,131,142,151,225,365,573,694,665,720,689,731,774,769,807,186,196,224,194,208,224,259,348,465,533,592,623,488,657,617,621,617,622,641,653,733,744,764,755
